Glycemic Index,Calories,Carbohydrates,Protein,Fat,Sodium Content,Potassium Content,Magnesium Content,Calcium Content,Fiber Content
50,420,50.0,20.0,15.0,780,400,35,80,3.0
45,240,25.0,10.0,12.0,360,220,20,60,2.0
35,320,55.0,10.0,6.0,520,450,30,80,8.0
50,250,15.0,10.0,18.0,480,300,20,100,4.0
35,180,30.0,8.0,4.0,480,400,25,60,8.0
40,300,45.0,15.0,6.0,580,450,35,120,6.0
20,350,20.0,30.0,18.0,880,420,35,60,2.0
40,220,30.0,10.0,8.0,550,320,30,80,4.0
50,480,40.0,25.0,22.0,840,470,30,120,3.0
68,180,20.0,3.0,10.0,30,80,15,15,1.0
10,150,10.0,2.0,12.0,180,210,20,30,4.0
55,250,30.0,5.0,12.0,380,220,25,120,2.0
