Glycemic Index,Calories,Carbohydrates,Protein,Fat,Sodium Content,Potassium Content,Magnesium Content,Calcium Content,Fiber Content
13,567,16.1,25.8,49.2,18,705,168,92,8.5
1,486,42.1,16.5,30.7,16,407,335,631,34.4
1,534,28.9,18.3,42.2,30,813,392,255,27.3
55,389,66.3,16.9,6.9,2,429,177,54,10.6
50,370,77.5,7.9,2.9,7,143,143,14,3.5
53,368,64.2,14.1,6.0,7,563,197,31,5.9
29,116,20.0,9.0,0.4,2,369,36,18,7.9
24,127,22.8,8.7,0.5,1,403,28,35,6.4
28,164,27.0,8.9,2.6,24,291,48,49,7.6
48,81,14.5,5.0,0.4,2,160,24,25,4.1
10,55,11.2,4.4,0.6,33,316,21,47,3.3
0,23,3.6,2.9,0.4,79,558,79,99,2.2
0,49,8.8,4.3,0.6,38,491,31,150,3.6
15,20,3.7,2.2,0.2,2,202,14,24,2.1
15,17,3.1,1.2,0.3,8,295,18,16,1.1
15,25,5.3,1.9,0.3,30,299,15,22,2.0
15,47,10.5,3.3,0.2,94,343,60,21,5.4
40,43,9.6,0.9,0.4,1,77,6,16,2.3
39,52,14.0,0.3,0.2,1,107,5,6,2.4
40,62,15.4,1.2,0.2,0,237,14,52,3.1
53,69,18.0,0.7,0.2,2,191,7,13,0.9
76,30,7.6,0.6,0.2,1,112,10,11,0.6
66,50,13.1,0.5,0.1,1,109,12,13,1.4
40,32,7.7,0.7,0.3,1,153,13,16,2.0
53,57,14.5,0.7,0.3,1,77,6,6,2.4
10,160,8.5,2.0,14.7,7,485,29,12,6.7
15,16,3.6,0.6,0.2,2,76,7,16,0.5
71,41,9.6,0.9,0.2,69,320,12,33,2.8
70,90,21.0,2.0,0.2,41,337,27,30,3.3
53,118,20.4,4.2,2.5,9,152,64,19,2.6
15,25,6.0,1.0,0.2,2,229,14,9,2.5
10,25,6.0,1.0,0.1,9,170,12,40,2.2
15,16,3.4,0.7,0.1,2,202,10,25,1.6
10,22,3.3,3.1,0.3,5,318,9,2,1.0
15,18,3.9,0.9,0.2,5,237,11,12,1.2
15,6,1.2,0.3,0.1,35,104,6,41,0.6
10,5,0.9,0.5,0.1,5,141,6,18,0.5
10,40,9.0,1.1,0.1,3,146,10,23,1.7
30,149,33.1,6.4,0.5,17,401,25,181,2.1
15,80,17.8,1.8,0.8,13,415,43,16,1.1
15,25,5.3,1.9,0.3,30,299,15,22,2.0
41,552,6.6,5.5,57.2,15,263,26,14,0.5
25,39,1.5,1.0,3.0,186,170,9,113,0.6
25,54,3.9,3.3,2.7,43,118,31,119,0.4
11,59,3.6,10.0,0.4,38,141,7,118,0.0
1,138,12.3,4.7,8.8,16,160,77,631,10.6
50,534,28.9,18.3,42.2,30,813,392,255,27.3
55,389,66.0,17.0,6.9,2,429,177,54,10.6
50,216,45.8,4.5,1.6,2,86,43,10,3.5
53,120,21.3,4.4,1.9,5,172,64,17,2.8
32,353,63.4,24.6,1.1,2,955,36,37,10.7
30,341,62.4,21.6,1.2,2,1200,120,211,16.6
28,364,61.6,19.0,6.04,24,875,79,45,17.4
0,206,0.0,22.0,13.0,47,628,32,13,0.0
0,116,0.0,26.0,1.0,35,333,22,4,0.0
0,165,0.0,31.0,3.6,74,334,29,11,0.0
0,161,0.0,30.6,3.2,66,318,26,15,0.0
0,250,0.0,26.0,17.0,54,380,21,10,0.0
0,52,0.7,11.0,0.2,166,147,6,28,0.0
0,579,21.7,21.2,49.9,1,705,268,269,12.5
15,654,13.7,15.2,65.2,2,441,158,98,6.7
13,567,16.1,25.8,49.2,18,705,168,92,8.5
27,553,30.2,18.2,43.9,12,660,292,37,3.3
0,884,0.0,0.0,100.0,2,1,1,1,0.0
0,862,0.0,0.0,100.0,0,0,0,0,0.0
0,160,8.5,2.0,14.7,7,485,29,12,6.7
53,57,14.0,0.7,0.3,1,77,9,6,2.4
40,29,7.0,0.7,0.3,1,153,13,16,2.0
32,52,12.0,1.2,0.7,1,151,27,25,6.5
39,52,14.0,0.3,0.2,0,107,9,6,2.4
40,43,9.0,0.9,0.1,0,181,10,40,2.3
59,69,18.0,0.7,0.2,2,191,6,11,0.9
72,30,8.0,0.6,0.2,1,112,10,8,0.6
66,50,13.0,0.5,0.1,1,109,12,13,1.4
53,61,15.0,1.1,0.5,2,312,17,34,3.0
10,98,2.6,11.1,4.3,364,104,10,83,0.0
14,223,10.2,7.6,17.2,349,346,29,118,2.2
53,218,35.2,7.7,6.4,192,318,64,45,4.1
44,116,21.1,7.9,0.6,545,368,36,24,7.8
0,196,1.1,22.4,12.0,230,250,20,22,0.4
70,238,19.7,13.3,11.4,243,311,35,59,2.4
15,33,6.6,2.4,0.3,8,358,37,16,1.2
50,180,10.0,6.0,14.0,375,204,22,92,5.0
0,23,3.6,2.9,0.4,79,167,20,30,2.2
15,144,6.1,13.7,8.6,10,206,52,204,1.5
15,55,11.2,3.7,0.6,33,457,21,47,3.3
10,98,2.6,11.1,4.3,364,104,7,83,0.0
0,280,2.2,24.0,20.0,627,58,22,505,0.0
15,25,6.0,1.0,0.0,2,229,14,9,3.0
15,17,3.1,1.2,0.3,2,280,18,16,1.0
15,31,6.3,0.9,0.3,1,175,9,10,2.5
15,55,11.2,4.4,0.6,33,316,21,47,3.3
15,23,3.6,2.9,0.4,79,167,79,99,2.2
15,49,9.0,4.3,0.9,38,330,24,150,3.6
15,25,5.3,2.0,0.3,30,320,15,22,2.0
15,20,3.7,2.2,0.2,2,202,14,24,2.2
15,43,9.0,3.4,0.3,25,342,17,36,3.8
15,25,6.0,1.3,0.1,18,170,10,34,2.5
15,6,1.2,0.3,0.1,35,260,11,40,1.6
15,5,1.2,0.5,0.1,5,194,7,36,0.5
53,120,21.3,4.4,1.9,7,172,64,17,2.8
50,216,44.8,4.5,1.8,5,43,48,20,3.5
55,389,66.3,16.9,6.9,2,429,138,54,10.6
69,247,49.0,10.0,2.5,422,154,61,84,6.3
28,354,73.5,12.5,2.3,8,452,158,33,17.3
32,230,39.9,17.9,0.8,2,731,36,19,15.6
42,364,61.5,19.0,6.0,24,875,79,49,17.4
24,333,60.1,23.7,0.8,2,1405,70,35,24.9
30,339,62.4,21.0,1.4,1,1250,120,46,15.0
15,654,13.7,15.2,65.2,2,441,158,98,6.7
0,575,20.0,21.0,49.9,1,773,70,264,12.2
25,553,30.2,18.2,43.9,12,565,292,37,3.3
13,567,16.1,25.8,49.2,18,705,168,92,8.5
0,534,28.9,18.3,42.2,30,813,392,255,27.3
1,486,42.1,16.5,30.7,16,407,335,631,34.4
11,59,3.6,10.0,0.0,36,141,12,119,0.0
0,206,0.0,22.0,13.4,59,628,29,12,0.0
0,116,0.0,26.0,0.8,35,346,22,9,0.0
0,165,0.0,31.0,3.6,63,248,32,11,0.0
0,250,0.0,26.0,17.0,55,393,22,11,0.0
0,147,0.0,28.0,1.7,40,377,28,11,0.0
0,105,0.0,23.0,0.9,63,429,29,12,0.0
0,85,0.0,20.0,0.9,119,239,16,56,0.0
34,54,3.2,3.3,3.0,47,118,14,93,1.2
25,39,1.5,1.0,3.0,72,64,9,183,0.5
41,230,5.5,2.3,23.8,15,263,32,14,2.2
15,160,9.0,2.0,14.7,7,485,29,12,7.0
0,119,0.0,0.0,13.5,0,0,0,0,0.0
0,120,0.0,0.0,13.6,0,0,0,0,0.0
0,120,0.0,0.0,13.6,0,0,0,0,0.0
0,120,0.0,0.0,13.6,0,0,0,0,0.0
0,902,0.0,0.0,100.0,0,0,0,0,0.0
39,52,14.0,0.3,0.2,1,107,5,6,2.4
38,57,15.3,0.4,0.1,1,116,7,9,3.1
40,62,15.4,1.2,0.2,0,181,10,43,3.1
53,57,14.0,0.7,0.3,1,77,9,6,2.4
40,29,7.0,0.7,0.3,1,153,13,16,2.0
32,53,12.0,1.2,0.7,1,151,22,27,6.5
72,30,7.6,0.6,0.2,1,112,10,8,0.4
59,50,13.0,0.5,0.1,1,109,12,13,1.4
53,61,14.7,1.1,0.5,3,237,17,34,3.0
15,16,3.6,0.7,0.2,2,147,10,16,0.5
15,16,3.5,0.7,0.2,80,260,11,40,1.6
0,5,1.0,0.5,0.0,28,194,4,18,0.5
0,23,3.6,2.9,0.4,79,558,79,99,2.2
0,49,9.0,4.3,0.9,38,330,33,150,3.6
15,55,11.2,3.7,0.6,33,316,21,47,3.3
15,25,5.3,2.0,0.3,30,320,15,22,2.0
41,41,10.0,0.9,0.2,69,320,12,33,2.8
15,31,7.1,1.8,0.2,6,209,25,37,3.4
38,18,3.9,0.9,0.2,5,237,11,10,1.2
15,144,2.4,15.7,8.0,10,150,37,683,1.1
0,106,4.5,14.0,2.0,9,433,57,9,2.8
0,189,0.0,27.0,8.2,65,339,29,13,0.0
0,250,0.0,26.0,17.0,54,392,22,7,0.0
0,258,0.0,25.0,17.0,57,299,23,14,0.0
0,143,0.0,30.0,3.0,50,437,35,9,0.0
55,389,66.0,16.9,6.9,2,429,177,54,10.6
85,247,48.0,9.4,1.8,381,125,29,80,6.7
37,124,25.7,4.5,0.8,3,118,37,14,4.2
53,121,21.3,4.2,2.2,3,119,38,15,3.4
15,25,5.3,2.0,0.3,30,320,15,22,2.0
15,17,3.1,1.2,0.2,2,261,21,16,1.0
